,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
HOME,November,220.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.75,Friday,128,-13.40,✅,lose,-1.00,OV
HOME,November,221.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.30,Friday,129,-12.49,✅,lose,-1.00,OV
HOME,November,219.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.25,Friday,130,-11.58,✅,lose,-1.00,OV
HOME,November,224,NBA,,1.00,SPREAD,1.91,win,0.91,3.45,Friday,131,-10.67,✅,lose,-1.00,UN
HOME,November,223.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.05,Friday,132,-11.67,❌,win,2.05,UN
HOME,November,221.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.10,Saturday,133,-12.67,❌,win,2.1,UN
HOME,November,241,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Saturday,134,-13.67,❌,win,1.2,UN
HOME,November,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.75,Saturday,135,-14.67,❌,lose,-1.00,UN
HOME,November,225.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.00,Saturday,136,-15.67,❌,lose,-1.00,UN
AWAY,November,218.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.45,Sunday,137,-16.67,❌,lose,-1.00,UN
AWAY,November,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Sunday,138,-15.76,✅,lose,-1.00,UN
AWAY,November,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Sunday,139,-16.76,❌,win,1.3,OV
HOME,November,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.50,Sunday,140,-15.85,✅,lose,-1.00,UN
HOME,November,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.40,Sunday,141,-16.85,❌,win,2.4,UN
HOME,November,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Sunday,142,-17.85,❌,win,2.2,OV
HOME,November,213,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.65,Sunday,143,-18.85,❌,lose,-1.00,UN
HOME,November,232.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Sunday,144,-19.85,❌,lose,-1.00,OV
AWAY,November,230,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Sunday,145,-18.94,✅,lose,-1.00,OV
AWAY,November,226,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Sunday,146,-18.03,✅,lose,-1.00,UN
HOME,November,235.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,5.25,Sunday,147,-17.12,✅,lose,-1.00,UN
AWAY,November,237,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.75,Monday,148,-18.12,❌,lose,-1.00,UN
HOME,November,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.00,Monday,149,-17.21,✅,lose,-1.00,UN
AWAY,November,210,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Monday,150,-16.30,✅,lose,-1.00,OV
HOME,November,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Monday,151,-17.30,❌,lose,-1.00,OV
AWAY,November,221.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.15,Monday,152,-18.30,❌,win,1.15,UN
HOME,November,225.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,9.50,Tuesday,153,-19.30,❌,win,8.5,OV
AWAY,November,214.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Tuesday,154,-20.30,❌,win,1,OV
HOME,November,212.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.00,Tuesday,155,-19.39,✅,lose,-1.00,UN
HOME,November,213,NBA,,1.00,SPREAD,1.91,win,0.91,2.40,Tuesday,156,-18.48,✅,lose,-1.00,UN
HOME,November,225,NBA,,1.00,SPREAD,1.91,win,0.91,4.10,Tuesday,157,-17.57,✅,lose,-1.00,UN
HOME,November,228.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.75,Tuesday,158,-16.66,✅,lose,-1.00,OV
HOME,November,235,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Tuesday,159,-15.75,✅,lose,-1.00,OV
HOME,November,221.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,4.25,Tuesday,160,-16.75,❌,win,3.25,OV
HOME,November,224.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,1.95,Wednesday,161,-15.84,✅,lose,-1.00,UN
AWAY,November,219,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Wednesday,162,-14.93,✅,lose,-1.00,OV
HOME,November,232.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.80,Wednesday,163,-15.93,❌,win,2.8,OV
HOME,November,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,8.00,Wednesday,164,-15.02,✅,lose,-1.00,UN
AWAY,November,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.50,Wednesday,165,-16.02,❌,lose,-1.00,OV
HOME,November,213.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Wednesday,166,-15.11,✅,lose,-1.00,OV
HOME,November,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Wednesday,167,-16.11,❌,lose,-1.00,OV
HOME,November,232.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.40,Wednesday,168,-17.11,❌,lose,-1.00,OV
AWAY,November,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Wednesday,169,-18.11,❌,win,3.75,UN
HOME,November,225.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.70,Wednesday,170,-17.20,✅,lose,-1.00,OV
HOME,November,230.5,NBA,ONE GAME,1.00,SPREAD,1.91,lose,-1.00,4.10,Thursday,171,-18.20,❌,win,3.1,UN
HOME,November,228.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.60,Friday,172,-19.20,❌,win,1.6,OV
HOME,November,208.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Friday,173,-18.29,✅,lose,-1.00,UN
AWAY,November,224,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Friday,174,-17.38,✅,lose,-1.00,UN
HOME,November,241.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.10,Friday,175,-16.47,✅,lose,-1.00,OV
HOME,November,238.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Friday,176,-15.56,✅,lose,-1.00,OV
HOME,November,214.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.90,Friday,177,-16.56,❌,lose,-1.00,OV
AWAY,November,228,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Friday,178,-15.65,✅,lose,-1.00,OV
HOME,November,214.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Friday,179,-14.74,✅,lose,-1.00,OV
AWAY,November,218,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Friday,180,-15.74,❌,win,1.15,UN
HOME,November,227,NBA,,1.00,SPREAD,1.91,win,0.91,3.60,Friday,181,-14.83,✅,lose,-1.00,UN
HOME,November,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.45,Friday,182,-13.92,✅,lose,-1.00,OV
AWAY,November,222,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.05,Friday,183,-13.01,✅,lose,-1.00,OV
