,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
AWAY,November,218,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.40,Saturday,184,-14.01,❌,win,1.4,OV
HOME,November,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,10.00,Saturday,185,-15.01,❌,lose,-1.00,OV
AWAY,November,220.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.50,Saturday,186,-16.01,❌,lose,-1.00,UN
HOME,November,229,NBA,,1.00,SPREAD,1.91,win,0.91,6.50,Saturday,187,-15.10,✅,lose,-1.00,UN
HOME,November,227.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.30,Saturday,188,-16.10,❌,lose,-1.00,OV
HOME,November,218.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.40,Sunday,189,-17.10,❌,lose,-1.00,OV
HOME,November,228,NBA,,1.00,SPREAD,1.91,win,0.91,2.40,Sunday,190,-16.19,✅,lose,-1.00,OV
HOME,November,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Sunday,191,-15.28,✅,lose,-1.00,OV
HOME,November,228,NBA,,1.00,SPREAD,1.91,win,0.91,2.85,Sunday,192,-14.37,✅,lose,-1.00,UN
AWAY,November,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Sunday,193,-15.37,❌,win,1.5,UN
AWAY,November,232,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Sunday,194,-14.46,✅,lose,-1.00,UN
AWAY,November,234,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Sunday,195,-13.55,✅,lose,-1.00,OV
HOME,November,226,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.35,Sunday,196,-14.55,❌,win,2.35,OV
HOME,November,221.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.50,Sunday,197,-13.64,✅,lose,-1.00,UN
HOME,November,234,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.45,Monday,198,-14.64,❌,win,1.45,PUSH
HOME,November,212,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Monday,199,-13.73,✅,lose,-1.00,UN
HOME,November,233,NBA,,1.00,SPREAD,1.91,win,0.91,8.00,Monday,200,-12.82,✅,lose,-1.00,OV
AWAY,November,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Monday,201,-13.82,❌,win,1.3,OV
HOME,November,225,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Monday,202,-14.82,❌,lose,-1.00,UN
AWAY,November,211.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.55,Monday,203,-13.91,✅,lose,-1.00,UN
HOME,November,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.40,Monday,204,-14.91,❌,win,1.4,UN
AWAY,November,226,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.80,Monday,205,-15.91,❌,win,1.8,UN
HOME,November,234.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.10,Tuesday,206,-16.91,❌,lose,-1.00,OV
HOME,November,219.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Tuesday,207,-17.91,❌,lose,-1.00,OV
HOME,November,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.00,Tuesday,208,-18.91,❌,win,2,OV
HOME,November,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,7.25,Tuesday,209,-18.00,✅,lose,-1.00,OV
AWAY,November,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Tuesday,210,-19.00,❌,win,3.75,UN
HOME,November,234.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,5.00,Tuesday,211,-20.00,❌,lose,-1.00,OV
HOME,November,216.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,7.50,Wednesday,212,-19.09,✅,lose,-1.00,OV
HOME,November,239.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.90,Wednesday,213,-18.18,✅,lose,-1.00,UN
HOME,November,232,NBA,,1.00,SPREAD,1.91,win,0.91,3.05,Wednesday,214,-17.27,✅,lose,-1.00,OV
AWAY,November,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Wednesday,215,-18.27,❌,win,1.55,OV
HOME,November,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.50,Wednesday,216,-19.27,❌,lose,-1.00,UN
HOME,November,239.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.70,Wednesday,217,-18.36,✅,lose,-1.00,UN
AWAY,November,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.65,Wednesday,218,-17.45,✅,lose,-1.00,OV
AWAY,November,205,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.30,Wednesday,219,-18.45,❌,win,1.3,OV
AWAY,November,222,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.25,Thursday,220,-19.45,❌,win,1.25,OV
AWAY,November,225.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Thursday,221,-20.45,❌,win,2.1,UN
HOME,November,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Thursday,222,-19.54,✅,lose,-1.00,OV
HOME,November,216,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.85,Thursday,223,-20.54,❌,win,1.85,OV
HOME,November,215,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.70,Friday,224,-19.63,✅,lose,-1.00,UN
AWAY,November,238,NBA,,1.00,SPREAD,1.91,lose,-1.00,9.50,Friday,225,-20.63,❌,lose,-1.00,UN
AWAY,November,222,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Friday,226,-21.63,❌,lose,-1.00,UN
AWAY,November,247,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Friday,227,-22.63,❌,win,1,OV
HOME,November,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.50,Friday,228,-21.72,✅,lose,-1.00,UN
HOME,November,235.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Friday,229,-20.81,✅,lose,-1.00,OV
HOME,November,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.65,Friday,230,-21.81,❌,win,1.65,OV
AWAY,November,217.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.45,Friday,231,-22.81,❌,win,1.45,UN
AWAY,November,234.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,4.00,Saturday,232,-23.81,❌,win,3,UN
HOME,November,206.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.25,Saturday,233,-22.90,✅,lose,-1.00,OV
AWAY,November,244,NBA,,1.00,SPREAD,1.91,win,0.91,2.50,Saturday,234,-21.99,✅,lose,-1.00,OV
HOME,November,226,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.50,Saturday,235,-22.99,❌,win,5.5,UN
HOME,November,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.40,Saturday,236,-23.99,❌,lose,-1.00,OV
AWAY,November,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.40,Saturday,237,-24.99,❌,win,1.4,UN
HOME,November,236,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.45,Saturday,238,-25.99,❌,win,1.45,UN
HOME,November,222.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.75,Sunday,239,-26.99,❌,lose,-1.00,UN
HOME,November,221.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Sunday,240,-26.08,✅,lose,-1.00,OV
AWAY,November,210,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Sunday,241,-25.17,✅,lose,-1.00,OV
HOME,November,233,NBA,,1.00,SPREAD,1.91,win,0.91,6.00,Sunday,242,-24.26,✅,lose,-1.00,UN
HOME,November,223,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,4.50,Sunday,243,-25.26,❌,win,3.5,UN
AWAY,November,212.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.55,Monday,244,-24.35,✅,lose,-1.00,UN
HOME,November,221,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Monday,245,-25.35,❌,lose,-1.00,UN
HOME,November,225.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.35,Monday,246,-26.35,❌,lose,-1.00,UN
HOME,November,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Monday,247,-27.35,❌,win,1.2,OV
HOME,November,218.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Monday,248,-26.44,✅,lose,-1.00,OV
HOME,November,232,NBA,,1.00,SPREAD,1.91,win,0.91,4.90,Monday,249,-25.53,✅,lose,-1.00,UN
HOME,November,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Monday,250,-26.53,❌,win,1.45,OV
HOME,November,224,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.00,Monday,251,-27.53,❌,win,6,OV
AWAY,November,224.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.40,Monday,252,-26.62,✅,lose,-1.00,OV
AWAY,November,244,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.75,Tuesday,253,-25.71,✅,lose,-1.00,UN
HOME,November,222,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Tuesday,254,-26.71,❌,win,1.8,UN
HOME,November,220,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Tuesday,255,-27.71,❌,win,1.25,OV
AWAY,November,225,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Tuesday,256,-26.80,✅,lose,-1.00,OV
HOME,November,234.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.20,Tuesday,257,-25.89,✅,lose,-1.00,UN
HOME,November,243.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.25,Wednesday,258,-26.89,❌,win,3.25,OV
HOME,November,231.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.25,Wednesday,259,-27.89,❌,lose,-1.00,OV
HOME,November,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.25,Wednesday,260,-26.98,✅,lose,-1.00,OV
AWAY,November,219.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Wednesday,261,-26.07,✅,lose,-1.00,OV
AWAY,November,226,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Wednesday,262,-25.16,✅,lose,-1.00,UN
AWAY,November,232,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Wednesday,263,-26.16,❌,win,1.45,OV
HOME,November,225,NBA,,1.00,SPREAD,1.91,win,0.91,3.70,Wednesday,264,-25.25,✅,lose,-1.00,OV
HOME,November,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Wednesday,265,-26.25,❌,win,1.35,OV
HOME,November,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Wednesday,266,-27.25,❌,win,1,UN
AWAY,November,228,NBA,,1.00,SPREAD,1.91,win,0.91,2.10,Wednesday,267,-26.34,✅,lose,-1.00,UN
HOME,November,219.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.20,Wednesday,268,-27.34,❌,win,3.2,OV
AWAY,November,228.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.00,Wednesday,269,-26.43,✅,lose,-1.00,UN
AWAY,November,225,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.55,Wednesday,270,-27.43,❌,lose,-1.00,UN
AWAY,November,221,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,6.50,Friday,271,-28.43,❌,lose,-1.00,UN
AWAY,November,243.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.85,Friday,272,-29.43,❌,win,1.85,UN
HOME,November,232,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.25,Friday,273,-30.43,❌,lose,-1.00,UN
AWAY,November,207,NBA,,1.00,SPREAD,1.91,win,0.91,3.40,Friday,274,-29.52,✅,lose,-1.00,OV
HOME,November,212.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Friday,275,-30.52,❌,lose,-1.00,UN
AWAY,November,243,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.00,Friday,276,-31.52,❌,lose,-1.00,OV
HOME,November,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Friday,277,-32.52,❌,win,1.75,OV
HOME,November,219.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.70,Friday,278,-31.61,✅,lose,-1.00,OV
AWAY,November,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Friday,279,-30.70,✅,lose,-1.00,UN
AWAY,November,225.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.30,Friday,280,-31.70,❌,win,2.3,UN
AWAY,November,223.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.80,Saturday,281,-32.70,❌,lose,-1.00,UN
HOME,November,216.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Saturday,282,-33.70,❌,win,1.1,UN
HOME,November,229.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,8.00,Saturday,283,-34.70,❌,lose,-1.00,OV
HOME,November,236,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Saturday,284,-33.79,✅,lose,-1.00,UN
AWAY,November,229.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.00,Saturday,285,-34.79,❌,lose,-1.00,UN
AWAY,December,206.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.20,Sunday,286,-33.88,✅,lose,-1.00,UN
HOME,December,243.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Sunday,287,-32.97,✅,lose,-1.00,OV
HOME,December,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Sunday,288,-32.06,✅,lose,-1.00,UN
HOME,December,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.25,Sunday,289,-31.15,✅,lose,-1.00,UN
AWAY,December,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.65,Sunday,290,-32.15,❌,win,1.65,OV
AWAY,December,220.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Sunday,291,-33.15,❌,win,1,OV
AWAY,December,227,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Sunday,292,-34.15,❌,lose,-1.00,UN
AWAY,December,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Sunday,293,-33.24,✅,lose,-1.00,OV
HOME,December,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.00,Sunday,294,-34.24,❌,win,2,OV
AWAY,December,225.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.25,Sunday,295,-35.24,❌,win,1.25,OV
HOME,December,231,NBA,FG,1.00,SPREAD,1.91,win,0.91,4.20,Monday,296,-34.33,✅,lose,-1.00,OV
HOME,December,220.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Monday,297,-33.42,✅,lose,-1.00,UN
HOME,December,232.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.40,Monday,298,-32.51,✅,lose,-1.00,UN
AWAY,December,219,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.50,Monday,299,-31.60,✅,lose,-1.00,UN
AWAY,December,211,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.60,Tuesday,300,-30.69,✅,lose,-1.00,OV
HOME,December,234.5,NBA,,1.00,SPREAD,1.91,win,0.91,10.00,Tuesday,301,-29.78,✅,lose,-1.00,UN
AWAY,December,220.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Tuesday,302,-28.87,✅,lose,-1.00,OV
HOME,December,215,NBA,,1.00,SPREAD,1.91,win,0.91,2.70,Tuesday,303,-27.96,✅,lose,-1.00,OV
AWAY,December,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Tuesday,304,-28.96,❌,win,1.3,UN
HOME,December,224,NBA,,1.00,SPREAD,1.91,win,0.91,7.50,Tuesday,305,-28.05,✅,lose,-1.00,OV
HOME,December,244.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Tuesday,306,-27.14,✅,lose,-1.00,UN
HOME,December,229,NBA,,1.00,SPREAD,1.91,win,0.91,3.35,Tuesday,307,-26.23,✅,lose,-1.00,UN
HOME,December,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.70,Tuesday,308,-27.23,❌,lose,-1.00,UN
HOME,December,229,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Tuesday,309,-26.32,✅,lose,-1.00,OV
HOME,December,220.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.90,Tuesday,310,-25.41,✅,lose,-1.00,OV
HOME,December,221,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,7.00,Wednesday,311,-26.41,❌,lose,-1.00,OV
AWAY,December,225.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Wednesday,312,-27.41,❌,win,1.3,UN
HOME,December,217.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Wednesday,313,-26.50,✅,lose,-1.00,OV
AWAY,December,209.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Wednesday,314,-27.50,❌,lose,-1.00,UN
HOME,December,236.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Wednesday,315,-28.50,❌,win,1.5,UN
AWAY,December,211.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.60,Wednesday,316,-27.59,✅,lose,-1.00,UN
HOME,December,233.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.50,Thursday,317,-26.68,✅,lose,-1.00,OV
AWAY,December,232,NBA,,1.00,SPREAD,1.91,win,0.91,8.00,Thursday,318,-25.77,✅,lose,-1.00,OV
HOME,December,217.5,NBA,,1.00,SPREAD,1.91,win,0.91,8.00,Thursday,319,-24.86,✅,lose,-1.00,OV
AWAY,December,227,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Thursday,320,-23.95,✅,lose,-1.00,UN
HOME,December,243,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Thursday,321,-23.04,✅,lose,-1.00,UN
AWAY,December,223,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Thursday,322,-24.04,❌,win,1.05,OV
HOME,December,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Thursday,323,-25.04,❌,win,1.1,OV
AWAY,December,219,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.55,Thursday,324,-26.04,❌,win,1.55,UN
AWAY,December,208.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.30,Friday,325,-27.04,❌,win,1.3,UN
HOME,December,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.40,Friday,326,-28.04,❌,lose,-1.00,OV
HOME,December,229,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.65,Friday,327,-29.04,❌,lose,-1.00,UN
AWAY,December,248,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Friday,328,-28.13,✅,lose,-1.00,OV
AWAY,December,228,NBA,,1.00,SPREAD,1.91,win,0.91,3.05,Friday,329,-27.22,✅,lose,-1.00,OV
AWAY,December,220,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Friday,330,-26.31,✅,lose,-1.00,UN
HOME,December,224,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.45,Friday,331,-27.31,❌,win,1.45,OV
AWAY,December,218.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,7.00,Saturday,332,-26.40,✅,lose,-1.00,UN
AWAY,December,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.70,Saturday,333,-25.49,✅,lose,-1.00,OV
AWAY,December,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.50,Saturday,334,-26.49,❌,win,5.5,OV
HOME,December,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.65,Saturday,335,-27.49,❌,win,2.65,OV
AWAY,December,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.70,Saturday,336,-28.49,❌,lose,-1.00,OV
HOME,December,237,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.25,Saturday,337,-29.49,❌,win,2.25,OV
HOME,December,223.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.70,Saturday,338,-28.58,✅,lose,-1.00,OV
AWAY,December,236,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.10,Sunday,339,-29.58,❌,lose,-1.00,UN
AWAY,December,216,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.00,Sunday,340,-30.58,❌,lose,-1.00,OV
HOME,December,221,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.75,Sunday,341,-31.58,❌,win,4.75,OV
HOME,December,241,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Sunday,342,-32.58,❌,win,1,OV
AWAY,December,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Sunday,343,-33.58,❌,win,1.2,OV
HOME,December,213.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Sunday,344,-32.67,✅,lose,-1.00,OV
HOME,December,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.25,Sunday,345,-33.67,❌,lose,-1.00,OV
AWAY,December,236,NBA,,1.00,SPREAD,1.91,win,0.91,4.25,Sunday,346,-32.76,✅,lose,-1.00,OV
HOME,December,216,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Sunday,347,-31.85,✅,lose,-1.00,OV
AWAY,December,214,NBA,,1.00,SPREAD,1.91,win,0.91,2.35,Sunday,348,-30.94,✅,lose,-1.00,OV
HOME,December,235,NBA,,1.00,SPREAD,1.91,win,0.91,5.50,Sunday,349,-30.03,✅,lose,-1.00,OV
HOME,December,224,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.50,Sunday,350,-29.12,✅,lose,-1.00,UN
HOME,December,232.5,NBA,ONE GAME,1.00,SPREAD,1.91,lose,-1.00,3.60,Monday,351,-30.12,❌,lose,-1.00,UN
HOME,December,215.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.75,Tuesday,352,-31.12,❌,lose,-1.00,OV
HOME,December,230,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.55,Tuesday,353,-30.21,✅,lose,-1.00,UN
HOME,December,238,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.75,Wednesday,354,-31.21,❌,win,2.75,UN
HOME,December,220.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.25,Wednesday,355,-32.21,❌,lose,-1.00,UN
HOME,December,224.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,5.75,Thursday,356,-31.30,✅,lose,-1.00,UN
HOME,December,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Thursday,357,-32.30,❌,lose,-1.00,UN
AWAY,December,232.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,3.30,Thursday,358,-33.30,❌,lose,-1.00,UN
HOME,December,232,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,11.00,Friday,359,-34.30,❌,lose,-1.00,UN
HOME,December,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.05,Friday,360,-35.30,❌,win,2.05,PUSH
HOME,December,233,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Friday,361,-34.39,✅,lose,-1.00,UN
HOME,December,228,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Friday,362,-33.48,✅,lose,-1.00,OV
HOME,December,213,NBA,,1.00,SPREAD,1.91,win,0.91,3.80,Friday,363,-32.57,✅,lose,-1.00,UN
HOME,December,227,NBA,,1.00,SPREAD,1.91,win,0.91,3.20,Friday,364,-31.66,✅,lose,-1.00,UN
AWAY,December,234,NBA,,1.00,SPREAD,1.91,win,0.91,3.20,Friday,365,-30.75,✅,lose,-1.00,OV
AWAY,December,226,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.40,Friday,366,-31.75,❌,lose,-1.00,OV
HOME,December,233,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.40,Saturday,367,-30.84,✅,lose,-1.00,UN
HOME,December,214.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.00,Saturday,368,-29.93,✅,lose,-1.00,UN
HOME,December,230.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.50,Sunday,369,-29.02,✅,lose,-1.00,UN
AWAY,December,213.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.50,Sunday,370,-28.11,✅,lose,-1.00,UN
AWAY,December,234,NBA,,1.00,SPREAD,1.91,lose,-1.00,11.00,Sunday,371,-29.11,❌,lose,-1.00,UN
AWAY,December,214.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.50,Sunday,372,-28.20,✅,lose,-1.00,UN
HOME,December,230.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.25,Sunday,373,-29.20,❌,lose,-1.00,UN
HOME,December,228,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Sunday,374,-30.20,❌,win,0.95,OV
AWAY,December,235.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.15,Sunday,375,-31.20,❌,win,1.15,UN
AWAY,December,218.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.15,Monday,376,-30.29,✅,lose,-1.00,OV
AWAY,December,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Monday,377,-31.29,❌,win,1.55,OV
AWAY,December,215.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Monday,378,-30.38,✅,lose,-1.00,OV
HOME,December,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Monday,379,-31.38,❌,win,0.95,OV
HOME,December,222,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.50,Monday,380,-30.47,✅,lose,-1.00,OV
HOME,December,227.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.60,Thursday,381,-31.47,❌,win,1.6,OV
AWAY,December,209,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Thursday,382,-32.47,❌,lose,-1.00,UN
AWAY,December,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.40,Thursday,383,-33.47,❌,win,1.4,OV
HOME,December,241,NBA,,1.00,SPREAD,1.91,lose,-1.00,8.00,Thursday,384,-34.47,❌,win,7,UN
HOME,December,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Thursday,385,-35.47,❌,win,1.15,UN
HOME,December,217.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.20,Thursday,386,-34.56,✅,lose,-1.00,OV
HOME,December,238.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Thursday,387,-33.65,✅,lose,-1.00,UN
HOME,December,234,NBA,,1.00,SPREAD,1.91,win,0.91,1.95,Thursday,388,-32.74,✅,lose,-1.00,OV
HOME,December,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.00,Thursday,389,-33.74,❌,win,2,UN
HOME,December,214,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Thursday,390,-34.74,❌,win,1.3,OV
AWAY,December,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.80,Thursday,391,-35.74,❌,win,2.8,OV
HOME,December,230.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.65,Thursday,392,-36.74,❌,win,1.65,UN
HOME,December,213,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,6.00,Friday,393,-37.74,❌,lose,-1.00,UN
HOME,December,221,NBA,,1.00,SPREAD,1.91,win,0.91,4.00,Friday,394,-36.83,✅,lose,-1.00,OV
AWAY,December,217.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,1.95,Friday,395,-35.92,✅,lose,-1.00,UN
HOME,December,227.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.80,Saturday,396,-36.92,❌,win,1.8,UN
